direction,system,SacreBLEU,chrF,LinguaPy,RefMetricX_24-Strict-linguapy,QEMetricX_24-Strict-linguapy,XCOMET-Strict-linguapy,XCOMET-QE-Strict-linguapy
en_fr,tower_canary-v2,46.6677,69.5943,0.3268,2.6046,2.503,0.899,0.9176
en_fr,tower_seamlessm4t,44.6483,68.6223,0.3268,2.6172,2.5206,0.8952,0.9137
en_fr,voxtral-small-24b,46.5111,69.1436,0.1634,2.1787,2.1668,0.9178,0.9327
fr_en,canary-v2,33.6617,61.1912,0.0,4.2511,3.9309,0.855,0.8451
fr_en,gemma_canary-v2,35.2808,63.0058,0.2959,2.8005,2.6686,0.9138,0.9023
fr_en,gemma_seamlessm4t,34.5307,62.52,0.4438,3.1709,3.0162,0.8951,0.8795
fr_en,owsm4.0-ctc,22.0188,51.4638,0.0,10.6048,10.1924,0.5283,0.4834
fr_en,qwen2audio-7b,29.3909,57.8956,1.3314,5.0242,4.5952,0.7948,0.7764
fr_en,tower_owsm4.0-ctc,38.8848,64.9424,0.0,3.4854,3.3845,0.8783,0.8615
fr_en,tower_whisper,41.0371,66.7139,0.0,2.58,2.5451,0.9171,0.9072
fr_en,whisper,31.2229,59.0357,0.1479,4.6462,4.2982,0.8366,0.8334
fr_en,desta2-8b,28.7486,55.4032,0.4438,5.4273,5.1354,0.754,0.7121
fr_en,gemma_owsm4.0-ctc,33.3835,61.455,0.2959,3.692,3.5128,0.8693,0.8491
fr_en,gemma_whisper,35.4067,62.9368,0.2959,2.8929,2.7858,0.9054,0.8921
fr_en,phi4multimodal,35.1882,62.8331,0.2959,3.0705,2.8532,0.9057,0.9025
fr_en,seamlessm4t,33.7649,61.5232,0.0,3.8916,3.6083,0.8738,0.8708
fr_en,tower_canary-v2,41.4733,66.9834,0.0,2.5268,2.4878,0.9225,0.9127
fr_en,tower_seamlessm4t,39.3806,65.6134,0.0,2.9395,2.9002,0.9012,0.8897
fr_en,voxtral-small-24b,42.1948,66.8123,0.2959,2.3598,2.356,0.9231,0.9132
en_it,canary-v2,25.924,56.08,0.0,3.56,3.1681,0.8758,0.9018
en_it,gemma_canary-v2,26.6032,57.2979,0.0,2.3425,2.0955,0.9218,0.9368
en_it,gemma_seamlessm4t,25.8109,56.9002,0.0,2.4342,2.1314,0.9142,0.931
en_it,owsm4.0-ctc,12.3729,44.3052,2.5,14.3875,13.5438,0.4265,0.4652
